Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
2 launch_application,10,965,532,1488,1488,1527,438,1527,0.000%,.14410,0.48,0.15
4 launch_application,5,274,273,280,281,281,269,281,0.000%,.07592,0.08,0.03
5 launch_application,5,272,273,273,279,279,268,279,0.000%,.07594,0.13,0.03
3 launch_application,5,225,224,227,233,233,220,233,0.000%,.07601,0.07,0.03
6 launch_application,5,225,224,228,232,232,220,232,0.000%,.07602,0.12,0.03
20 login,10,767,511,1047,1047,1049,479,1049,60.000%,.14475,0.31,0.14
22 login,5,270,269,274,275,275,266,275,0.000%,.07594,0.09,0.03
21 login,5,268,268,270,273,273,263,273,0.000%,.07594,0.13,0.03
38 click_flights,10,794,555,1081,1081,1142,482,1142,0.000%,.14477,0.56,0.12
40 click_flights,5,292,291,300,303,303,282,303,0.000%,.07590,0.34,0.03
39 click_flights,5,276,276,277,287,287,267,287,0.000%,.07592,0.13,0.03
46 logout,10,624,501,765,765,779,479,779,0.000%,.14478,0.27,0.09
47 logout,5,268,267,269,278,278,264,278,0.000%,.07594,0.13,0.03
Debug Sampler,5,0,0,1,3,3,0,3,0.000%,.07627,0.04,0.00
TOTAL,90,482,282,1049,1142,1488,0,1527,6.667%,1.09349,2.36,0.63
